Mese-Anno;Data;mm
gen-02;1;5,0
gen-02;2;0,0
gen-02;3;8,0
gen-02;4;0,6
gen-02;5;0,0
gen-02;6;0,0
gen-02;7;0,0
gen-02;8;0,0
gen-02;9;0,0
gen-02;10;0,0
gen-02;11;0,0
gen-02;12;0,0
gen-02;13;0,0
gen-02;14;0,4
gen-02;15;4,0
gen-02;16;0,6
gen-02;17;9,8
gen-02;18;0,0
gen-02;19;0,0
gen-02;20;0,0
gen-02;21;0,0
gen-02;22;0,0
gen-02;23;0,0
gen-02;24;0,6
gen-02;25;0,0
gen-02;26;0,0
gen-02;27;0,0
gen-02;28;0,0
gen-02;29;0,0
gen-02;30;0,0
gen-02;31;0,0
feb-02;1;0,0
feb-02;2;0,0
feb-02;3;5,2
feb-02;4;0,2
feb-02;5;0,0
feb-02;6;0,0
feb-02;7;2,8
feb-02;8;1,0
feb-02;9;0,0
feb-02;10;0,0
feb-02;11;0,0
feb-02;12;0,0
feb-02;13;0,0
feb-02;14;0,0
feb-02;15;0,2
feb-02;16;0,0
feb-02;17;0,0
feb-02;18;0,0
feb-02;19;0,2
feb-02;20;0,0
feb-02;21;0,0
feb-02;22;3,2
feb-02;23;0,2
feb-02;24;0,0
feb-02;25;0,0
feb-02;26;0,0
feb-02;27;0,0
feb-02;28;0,0
mar-02;1;0,0
mar-02;2;0,0
mar-02;3;0,0
mar-02;4;0,2
mar-02;5;0,0
mar-02;6;0,0
mar-02;7;5,0
mar-02;8;0,6
mar-02;9;1,6
mar-02;10;4,4
mar-02;11;0,0
mar-02;12;0,0
mar-02;13;0,0
mar-02;14;0,0
mar-02;15;0,0
mar-02;16;0,0
mar-02;17;0,0
mar-02;18;0,0
mar-02;19;0,0
mar-02;20;0,0
mar-02;21;0,0
mar-02;22;0,0
mar-02;23;0,0
mar-02;24;0,0
mar-02;25;0,2
mar-02;26;0,0
mar-02;27;2,0
mar-02;28;0,6
mar-02;29;0,0
mar-02;30;0,0
mar-02;31;0,0
apr-02;1;0,0
apr-02;2;1,6
apr-02;3;6,4
apr-02;4;0,2
apr-02;5;0,6
apr-02;6;0,0
apr-02;7;0,0
apr-02;8;0,0
apr-02;9;0,0
apr-02;10;0,0
apr-02;11;0,0
apr-02;12;0,8
apr-02;13;0,0
apr-02;14;0,0
apr-02;15;0,0
apr-02;16;0,0
apr-02;17;0,0
apr-02;18;0,0
apr-02;19;0,0
apr-02;20;0,0
apr-02;21;0,0
apr-02;22;9,2
apr-02;23;0,2
apr-02;24;0,0
apr-02;25;0,0
apr-02;26;0,0
apr-02;27;0,0
apr-02;28;0,0
apr-02;29;0,0
apr-02;30;0,0
mag-02;1;0,0
mag-02;2;0,0
mag-02;3;0,0
mag-02;4;0,0
mag-02;5;0,2
mag-02;6;1,2
mag-02;7;4,8
mag-02;8;3,2
mag-02;9;0,0
mag-02;10;0,0
mag-02;11;63,8
mag-02;12;0,2
mag-02;13;0,0
mag-02;14;0,0
mag-02;15;0,0
mag-02;16;0,0
mag-02;17;0,0
mag-02;18;0,0
mag-02;19;0,0
mag-02;20;0,0
mag-02;21;0,0
mag-02;22;0,4
mag-02;23;0,0
mag-02;24;11,4
mag-02;25;5,2
mag-02;26;0,8
mag-02;27;0,0
mag-02;28;0,0
mag-02;29;0,0
mag-02;30;0,0
mag-02;31;0,0
giu-02;1;0,0
giu-02;2;0,0
giu-02;3;0,0
giu-02;4;0,0
giu-02;5;0,0
giu-02;6;0,0
giu-02;7;0,0
giu-02;8;0,0
giu-02;9;0,4
giu-02;10;0,0
giu-02;11;0,0
giu-02;12;0,0
giu-02;13;0,0
giu-02;14;0,0
giu-02;15;0,0
giu-02;16;0,0
giu-02;17;0,0
giu-02;18;0,0
giu-02;19;0,0
giu-02;20;0,0
giu-02;21;0,0
giu-02;22;0,0
giu-02;23;0,0
giu-02;24;0,0
giu-02;25;0,0
giu-02;26;0,0
giu-02;27;0,0
giu-02;28;0,0
giu-02;29;0,0
giu-02;30;0,0
lug-02;1;0,0
lug-02;2;0,0
lug-02;3;0,0
lug-02;4;0,0
lug-02;5;0,0
lug-02;6;0,0
lug-02;7;0,0
lug-02;8;0,0
lug-02;9;0,0
lug-02;10;0,0
lug-02;11;0,0
lug-02;12;0,0
lug-02;13;0,0
lug-02;14;0,0
lug-02;15;0,0
lug-02;16;0,0
lug-02;17;0,0
lug-02;18;0,0
lug-02;19;0,0
lug-02;20;0,0
lug-02;21;0,0
lug-02;22;0,0
lug-02;23;0,0
lug-02;24;0,0
lug-02;25;0,0
lug-02;26;7,0
lug-02;27;0,0
lug-02;28;0,0
lug-02;29;0,0
lug-02;30;0,0
lug-02;31;0,0
ago-02;1;0,0
ago-02;2;0,0
ago-02;3;0,0
ago-02;4;0,0
ago-02;5;0,0
ago-02;6;0,0
ago-02;7;0,0
ago-02;8;0,0
ago-02;9;0,0
ago-02;10;0,0
ago-02;11;0,0
ago-02;12;0,0
ago-02;13;0,0
ago-02;14;0,0
ago-02;15;0,0
ago-02;16;0,0
ago-02;17;0,0
ago-02;18;
ago-02;19;
ago-02;20;0,0
ago-02;21;0,0
ago-02;22;0,0
ago-02;23;0,0
ago-02;24;0,0
ago-02;25;0,0
ago-02;26;0,0
ago-02;27;0,0
ago-02;28;0,2
ago-02;29;0,0
ago-02;30;0,0
ago-02;31;0,4
set-02;1;0,6
set-02;2;6,2
set-02;3;0,2
set-02;4;0,0
set-02;5;0,0
set-02;6;0,0
set-02;7;0,0
set-02;8;0,2
set-02;9;0,0
set-02;10;0,0
set-02;11;0,0
set-02;12;0,0
set-02;13;0,0
set-02;14;19,2
set-02;15;3,2
set-02;16;0,0
set-02;17;0,0
set-02;18;0,0
set-02;19;0,0
set-02;20;0,0
set-02;21;0,0
set-02;22;0,0
set-02;23;0,0
set-02;24;0,0
set-02;25;0,0
set-02;26;0,0
set-02;27;0,0
set-02;28;0,2
set-02;29;0,0
set-02;30;12,6
ott-02;1;0,0
ott-02;2;0,0
ott-02;3;0,0
ott-02;4;0,0
ott-02;5;7,2
ott-02;6;0,0
ott-02;7;0,0
ott-02;8;0,0
ott-02;9;0,0
ott-02;10;0,4
ott-02;11;1,8
ott-02;12;0,8
ott-02;13;0,0
ott-02;14;0,0
ott-02;15;0,0
ott-02;16;0,0
ott-02;17;0,0
ott-02;18;0,0
ott-02;19;0,0
ott-02;20;0,0
ott-02;21;0,0
ott-02;22;0,0
ott-02;23;0,0
ott-02;24;0,0
ott-02;25;0,0
ott-02;26;0,0
ott-02;27;0,0
ott-02;28;0,0
ott-02;29;0,0
ott-02;30;0,0
ott-02;31;0,0
nov-02;1;0,0
nov-02;2;0,0
nov-02;3;0,0
nov-02;4;0,8
nov-02;5;30,8
nov-02;6;23,4
nov-02;7;0,2
nov-02;8;22,0
nov-02;9;0,0
nov-02;10;1,4
nov-02;11;0,0
nov-02;12;0,0
nov-02;13;0,0
nov-02;14;0,0
nov-02;15;0,0
nov-02;16;0,0
nov-02;17;0,0
nov-02;18;9,2
nov-02;19;0,0
nov-02;20;0,0
nov-02;21;4,6
nov-02;22;0,0
nov-02;23;0,0
